5754	Acanthamoeba
5598	Alternaria
29169	Ancylostoma
6312	Angiostrongylus
6268	Anisakis
311453	Anncaliia
105983	Apiotrichum
90268	Apophysomyces
6251	Ascaris
5052	Aspergillus
5864	Babesia
6258	Baylisascaris
94642	Besnoitia
12967	Blastocystis
229219	Blastomyces
6278	Brugia
5475	Candida
2964429	Candida/Metschnikowiaceae
5149	Chaetomium
82105	Cladophialophora
5110	Claviceps
36910	Clavispora
79922	Clonorchis
5500	Coccidioides
1766050	Cruorifilaria
5206	Cryptococcus
5806	Cryptosporidium
71460	Cylicostephanus
242060	Cystoisospora
27995	Cytauxzoon
4958	Debaryomyces
2267273	Dibothriocephalus
57077	Dicrocoelium
29171	Dictyocaulus
114233	Dipetalonema
66786	Dipylidium
6286	Dirofilaria
1910789	Diutina
318478	Dracunculus
6209	Echinococcus
27847	Echinostoma
5800	Eimeria
1147740	Elaeophora
1955773	Emergomyces
6033	Encephalitozoon
5758	Entamoeba
51027	Enterobius
27971	Enterocytozoon
5583	Exophiala
6191	Fasciola
27844	Fasciolopsis
40354	Fonsecaea
5506	Fusarium
5740	Giardia
637852	Gongylonema
6288	Haemonchus
114867	Halicephalobus
99157	Hammondia
6338	Heligmosomoides
77566	Hepatocystis
39198	Heterobilharzia
5036	Histoplasma
1434708	Hydatigera
6215	Hymenolepis
4910	Kluyveromyces
5658	Leishmania
688353	Lichtheimia
6298	Litomosoides
7208	Loa
36913	Lodderomyces
1549750	Lomentospora
55193	Malassezia
42230	Mansonella
53467	Mesocestoides
766728	Meyerozyma
144516	Microsporidium
34392	Microsporum
28840	Moniezia
4830	Mucor
5761	Naegleria
1851509	Naganishia
374468	Nakaseomyces
51030	Necator
29175	Neospora
27834	Nippostrongylus
52564	Oesophagostomum
6281	Onchocerca
6197	Opisthorchis
38946	Paracoccidioides
34503	Paragonimus
6254	Parascaris
131309	Parastrongyloides
148308	Parelaphostrongylus
5073	Penicillium
4919	Pichia
5820	Plasmodium
4753	Pneumocystis
2761499	Porcisia
4797	Pythium
5587	Rhinocladiella
4842	Rhizopus
70664	Rodentolepis
4930	Saccharomyces
5812	Sarcocystis
41687	Scedosporium
6181	Schistosoma
48796	Setaria
241477	Soboliphyme
64605	Sparganum
46580	Spirometra
39709	Spironucleus
29907	Sporothrix
74721	Stachybotrys
6247	Strongyloides
40345	Strongylus
6202	Taenia
5094	Talaromyces
94964	Teladorsagia
5873	Theileria
103826	Thelazia
1920207	Thermothelomyces
59263	Toxascaris
6264	Toxocara
5810	Toxoplasma
72358	Trachipleistophora
6333	Trichinella
100601	Trichobilharzia
5721	Trichomonas
229045	Trichomonascus
5550	Trichophyton
5552	Trichosporon
36086	Trichuris
5723	Tritrichomonas
5690	Trypanosoma
1494215	Verruconis
42398	Vittaforma
6292	Wuchereria
